,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
177,Timor-Leste,0.000867927,0.001017377,0.000456246,0.010283362,0.010940011,0.125996517,0.432758621,0.012997342,0.037034498,0.001556686,9.54E-06,0.001226725,0.001533519,0.192767778,0.918557357,0.007334363,0.001664168,0.001140464,0.01398028,0.448979592,0.588579795,0.566885965,0.902636917,0.459697733,0.051617935
178,Togo,0.003319644,0.005159635,0.00379787,0.016829004,0.002964504,0.292965817,0.236206897,0.00375596,0.006363659,0.000110465,3.00E-05,0.001751924,0.000286467,0.004243846,0.342573015,0.000873708,0.010817895,0.000177124,0.002110404,0.632653061,0.459736457,0.388157895,0.825557809,0.556675063,0.002040948
180,Tonga,4.21E-05,9.33E-05,2.15E-05,0.016884057,0.02683228,0.192769822,0.593103448,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.994143485,0.995614035,0.993914807,0.159949622,0.051617935
181,Trinidad and Tobago,0.000298277,0.000720498,0.000855631,0.033742055,0.098215379,0.014647666,0.734482759,0.005457389,0.001472963,2.43E-05,0.000614688,0.002972352,0.000496981,0.055392126,0.043806181,0.00527183,0.04781665,0.052007526,0.001358272,0.448979592,0.928257687,0.94627193,0.900608519,0.177581864,8.49E-05
182,Tunisia,0.009567078,0.004066722,0.009378596,0.008553943,0.020173033,0.117012649,0.629310345,0.000793968,0.006714602,0.005484012,0.004601812,0.001705324,0.006399516,0.086240775,0.777958815,0.031435108,0.006254692,0.003339201,0.000172276,0.530612245,0.966325037,0.925438596,1,0.162468514,0.003198288
183,Turkey,0.045929927,0.023024266,0.071462121,0.012762744,0.062963797,0.073318612,0.744827586,0.005131153,0.055499928,0.072747093,0.013819742,0.075749637,0.077476199,0.148246932,0.853221057,0.011569118,0.010980065,0.005299345,0.00188034,0.530612245,1,1,1,0.088161209,0.187551994
184,Turkmenistan,0.028545077,0.003163041,0.003484564,0.001235414,0.039030865,0.105753439,0.577586207,0.008460578,0.027716433,0.038313953,0.004000954,0.009488856,0.036726917,1,0.947863644,0.037276613,0.001014685,0.002378134,0.000547261,0.367346939,0.420204978,0.282894737,0.778904665,0.437027708,0.006648202
185,Tuvalu,0,4.84E-06,0,0.047500996,0.023009844,0.228311815,0.580070449,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.966325037,0.967105263,0.965517241,0.234256927,0.051617935
186,Uganda,0.014125447,0.037022072,0.011781493,0.021221969,0.003210096,0.300750382,0.256896552,0.002871692,0.055433435,0.000376453,0.000238436,0.004110914,0.000830492,0.001459872,0.408700108,0.001506451,0.023153933,0.000851471,0.001845834,0.734693878,0.692532943,0.734649123,0.90872211,0.400503778,0.095068578
187,Ukraine,0.035297241,0.015294818,0.036304241,0.009036219,0.014661784,0.122994931,0.644827586,0.00774998,0.035520751,0.004659884,0.017057701,0.030169374,0.012056584,0.040842478,0.351046993,0.002898524,0.006185389,0.001040618,6.92E-05,0.489795918,0.944363104,0.975877193,0.90872211,0.070528967,0.065832828
188,United Arab Emirates,0.004151894,0.001453761,0.009605685,0.01658011,0.241289122,0.009224174,0.846551724,3.11E-05,0.000183618,0.004813953,0.000329041,0.007750786,0.005247078,0.085215131,0.832706509,0.44357479,0.075828134,0.015462323,0.045444967,0.244897959,0.994143485,1,0.99188641,0.060453401,7.26E-05
189,United Kingdom,0.014245927,0.012546057,0.065241337,0.034260387,0.241928653,0.007615743,0.94137931,0.004333322,0.002253472,0.001719477,0.004816404,0.078407122,0.011057891,0.024302501,0.141226786,0.003720894,0.261731597,0.011619565,0.010031806,0.693877551,1,1,1,0.026448363,0.006264366
190,United Republic of Tanzania,0.055401673,0.043147176,0.022454363,0.007019194,0.005137267,0.345522722,0.256896552,0.003464391,0.054376667,0.006732558,0.000119218,0.006617262,0.006805564,0.01783527,0.898148148,0.003359534,0.005501987,0.003217836,0.01152304,0.632653061,0.349926794,0.402412281,0.537525355,0.243424166,0.123824117
191,United States of America,0.575107233,0.065468793,0.315705131,0.003914475,0.361572997,0.010529348,0.94137931,0.018569856,0.064569222,0.256104651,1,0.735385096,0.583821181,0.280251191,0.398642673,0.007306775,0.034549743,0.003570346,0.000280041,0.632653061,0.988286969,0.980263158,0.987829615,0.243424166,0.874465117
192,Uruguay,0.010304581,0.00018504,0.003895757,0.002206314,0.103067812,0.061538315,0.748275862,0.098561485,0.142378849,0.004607558,0.000381497,0.00514368,0.004802922,0.218003322,0.870607888,0.002534403,0.010604552,0.002549562,0.003267528,0.612244898,0.995607613,0.933114035,1,0.056675063,0.020384496
193,Uzbekistan,0.026164712,0.017745599,0.019120028,0.008749509,0.010549869,0.363703881,0.575862069,0.003007785,0.019646097,0.079011628,0.010157368,0.030333105,0.077392099,0.378514335,0.927702174,0.043861022,0.000933567,0.007941129,0.000164564,0.551020408,0.814055637,0.790570175,0.969574037,0.176322418,0.026157755
194,Vanuatu,0.000711185,0.000232489,7.43E-05,0.002700169,0.018568005,0.258365053,0.382758621,0.068894877,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.919472914,0.922149123,0.977687627,0.255667506,0.051617935
195,Venezuela (Bolivarian Republic of),0.053340055,0.004249598,0.033429504,0.003810952,0.046085431,0.064130374,0.624137931,0.088642115,0.152920466,0.024287791,0.003783023,0.064502559,0.029725951,0.157042918,0.742347636,0.001951168,0.007666046,0.005303895,0.002180473,0.551020408,0.89897511,0.757675439,0.898580122,0.243424166,0.187313883
196,Viet Nam,0.019370437,0.069609915,0.039885328,0.03573365,0.013489728,0.185432003,0.546551724,0.01838338,0.013483029,0.113008721,0.014659037,0.015169071,0.107786516,0.177176598,0.952734972,0.004701467,0.001762237,0.006558371,0.000393516,0.775510204,0.964860908,0.966008772,0.981744422,0.243424166,0.053137596
197,Yemen,0.030876898,0.020327786,0.012056956,0.006391649,0.004535527,0.227995365,0.155172414,0.000148402,0.000473965,0.004702035,0.000309967,0.003317447,0.004678086,0.024692884,0.912135107,0.044081462,0.004112959,0.012358285,0.001242055,0.591836735,0.339677892,0.413377193,0.432048682,0.243424166,0.00054961
198,Zambia,0.044015108,0.010962129,0.008703268,0.002570632,0.008499034,0.048411147,0.372413793,0.01223142,0.171168782,0.001674419,0.000619933,0.003632315,0.002059146,0.017512081,0.736621445,0.000729275,0.010293453,0.000557096,0.001202194,0.510204082,0.49341142,0.466008772,0.707910751,0.513853904,0.120181479
199,Zimbabwe,0.022852086,0.012596634,0.00631072,0.004339535,0.007416087,0.100658936,0.310344828,0.002763326,0.200222155,0.004026163,0.000388174,0.00612229,0.004381238,0.046659705,0.833863116,0.00813375,0.004108022,0.000881852,0.001018961,0.571428571,0.661786237,0.641447368,0.939148073,0.463476071,0.11875136
